Budget for BRAND_AWARENESS,Reach for BRAND_AWARENESS,Impressions for BRAND_AWARENESS,Frequency for BRAND_AWARENESS,Weekly Frequency for BRAND_AWARENESS,CPM for BRAND_AWARENESS,Budget forLINK_CLICKS,Reach for LINK_CLICKS,Impressions for LINK_CLICKS,Frequency forLINK_CLICKS,Weekly Frequency for LINK_CLICKS,CPM for LINK_CLICKS,% Weight Reach for BRAND_AWARENESS,% Weight Reach for LINK_CLICKS,Total Budget,% Budget for BRAND_AWARENESS,% Budget for  LINK_CLICKS,Sum of Reach (NOT deduplicated),Total Impressions,Weighted Average Frequency,Weighted Average Weekly Frequency,Total CPM,Country,Gender,Gender Label,Age min,Age max,Campaign days,Campaign weeks,Frequency Caps,Included interests,Excluded interests
11100.0,19338977.622646656,59498611.11623465,3.0766051961370495,0.7691512990342624,0.18655897661737653,18900.0,28217578.085053466,84691081.41084307,3.0013543457360394,0.7503385864340099,0.2231639941910131,0.40665219200295,0.5933478079970501,30000.0,0.37,0.63,47556555.70770012,144189692.52707773,3.0319552690016964,0.7579888172504241,0.20805925495933925,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
11400.0,19726028.51708615,60931757.2763113,3.0888898489038175,0.7722224622259544,0.18709455478698342,18600.0,27861055.847723998,83475894.63615303,2.9961450024557847,0.7490362506139462,0.22281881591173058,0.4145248396784153,0.5854751603215848,30000.0,0.38,0.62,47587084.36481015,144407651.91246432,3.034590045060655,0.7586475112651637,0.20774522404245668,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
11700.0,20094442.79868132,62326718.42474098,3.1016774481040255,0.7754193620260064,0.18772045594102083,18300.0,27503948.59082086,82259861.12516436,2.990833865253971,0.7477084663134927,0.22246572933250178,0.42216642647115055,0.5778335735288493,30000.0,0.39,0.61,47598391.38950218,144586579.54990533,3.0376283045230372,0.7594070761307593,0.20748813682009287,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
12000.0,20450763.677802198,63696887.59742543,3.114639315572926,0.7786598288932315,0.18839225043210792,18000.0,27146843.786626596,81043835.62152517,2.985383657749514,0.7463459144373785,0.22210202493450612,0.4296594885170584,0.5703405114829415,30000.0,0.4,0.6,47597607.4644288,144740723.2189506,3.040919577577857,0.7602298943944642,0.2072671694103582,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
12300.0,20807084.61435569,65067057.99095705,3.127158528344843,0.7817896320862108,0.18903574834610534,17700.0,26789745.98058982,79827834.53615929,2.9797889824840698,0.7449472456210174,0.22172717201770648,0.43715273379075115,0.562847266209249,30000.0,0.41,0.59,47596830.594945505,144894892.52711636,3.044211982334609,0.7610529955836522,0.20704663550777438,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
12600.0,21163417.313406594,66437272.726405025,3.139245088808234,0.7848112722020585,0.18965257727974466,17400.0,26427767.663174134,78605051.20987336,2.974335416156494,0.7435838540391235,0.22135982016654973,0.4446919597362612,0.5553080402637389,30000.0,0.42,0.58,47591184.976580724,145042323.9362784,3.047669421667462,0.7619173554168654,0.20683617847422198,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
12900.0,21519738.192527473,67807442.7878179,3.150932337445647,0.7877330843614118,0.1902446025042782,17100.0,26059817.042580646,77374003.64258064,2.9690909575737527,0.7422727393934382,0.22100446138203306,0.4522896039315734,0.5477103960684265,30000.0,0.43,0.57,47579555.23510812,145181446.43039852,3.051335923254382,0.7628339808135955,0.20663797432533715,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
13200.0,21876066.868311983,69177642.28479026,3.1622407297109363,0.7905601824277341,0.19081309457842302,16800.0,25691858.332903225,76142943.93290323,2.9636968392133123,0.7409242098033281,0.22063764719688372,0.459891129911067,0.5401088700889329,30000.0,0.44,0.56,47567925.20121521,145320586.2176935,3.0550054133512035,0.7637513533378009,0.2064401251111066,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
13500.0,22232391.82813187,70547827.80552591,3.1731880005842883,0.7932970001460721,0.1913595417454166,16500.0,25323887.357935484,74911843.39303227,2.95814590259864,0.73953647564966,0.22025889702688461,0.4674964528058648,0.5325035471941351,30000.0,0.45,0.55,47556279.18606736,145459671.19855818,3.0586773206108613,0.7646693301527153,0.20624273211128616,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
13800.0,22587954.270013064,71915933.92878024,3.183806467066895,0.7959516167667238,0.1918907152574339,16200.000000000002,24955928.648258068,73680783.74787098,2.952431585926759,0.7381078964816897,0.219867368070282,0.475096960608838,0.524903039391162,30000.0,0.46,0.54,47543882.91827113,145596717.67665124,3.0623570887176688,0.7655892721794172,0.20604860108608739,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
14100.0,22926620.826639343,73237962.2148712,3.1944425556387483,0.7986106389096871,0.19252310650905782,15900.0,24580163.51706734,72438787.58168416,2.9470383032558756,0.7367595758139689,0.21949566704261417,0.48259677314228655,0.5174032268577134,30000.0,0.47,0.53,47506784.34370668,145676749.79655534,3.06643479711753,0.7666086992793825,0.20593540178440592,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
14400.0,23258846.23647541,74542417.71838407,3.204904547410872,0.801226136852718,0.19317860140252188,15600.0,24201416.678974632,71192646.69703811,2.9416681888132254,0.7354170472033064,0.219123753979623,0.4900698986415393,0.5099301013584606,30000.0,0.48,0.52,47460262.915450044,145735064.4154222,3.070672404389942,0.7676681010974855,0.20585299852397976,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
14700.0,23591071.646311477,75846873.22189696,3.2150577032244536,0.8037644258061134,0.19381154918534094,15300.0,23822657.215566475,69946464.27294461,2.9361271244579434,0.7340317811144859,0.21873871909088136,0.49755782159709866,0.5024421784029014,30000.0,0.49,0.51,47413728.86187795,145793337.49484158,3.0749112156058263,0.7687278039014566,0.20577071981126333,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
15000.0,23923297.05614754,77151327.72540984,3.224934497485869,0.8062336243714673,0.19442309604037755,15000.0,23443897.75215832,68700282.53260726,2.930407037528888,0.732601759382222,0.21833971341938135,0.505060456988527,0.4949395430114731,30000.0,0.5,0.5,47367194.80830586,145851610.2580171,3.0791612110504314,0.7697903027626078,0.2056885072912726,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
