Country,Account currency,Gender,Age min,Age max,Campaign days,Frequency cap,Campaign objective,Included interests/behaviors,Excluded interests/behaviors,Scenario budget,Budget,Impressions,Reach,Reach (millions),Lower Reach Percentage,Upper Reach Percentage,Frequency,Weekly frequency,CPM
['MX'],USD,"Male, Female",25,44,28,4 times every 7 days,REACH,[],[],+80 pct,180000,339347069.9,38898750.02,38.9,0.81,0.953,8.723837367,2.180959342,0.530430394
['MX'],USD,"Male, Female",25,44,56,4 times every 7 days,REACH,[],[],+80 pct,180000,476356715.4,35650885.38,35.7,0.743,0.874,13.36165409,1.670206762,0.377868085
['MX'],USD,"Male, Female",25,44,14,3 times every 7 days,REACH,[],[],+85 pct,185000,187067750.3,42417098.39,42.4,0.884,1.04,4.419916466,2.209958233,0.988946517
['MX'],USD,"Male, Female",25,44,28,3 times every 7 days,REACH,[],[],+85 pct,185000,294755543.4,40433453.27,40.4,0.842,0.991,7.289880252,1.822470063,0.627638747
['MX'],USD,"Male, Female",25,44,56,3 times every 7 days,REACH,[],[],+85 pct,185000,432653258.3,37045578.75,37,0.772,0.908,11.67890999,1.459863749,0.427594145
['MX'],USD,"Male, Female",25,44,14,4 times every 7 days,REACH,[],[],+85 pct,185000,222702016.2,40834316.15,40.8,0.851,1.001,5.455608377,2.727804189,0.830706444
['MX'],USD,"Male, Female",25,44,28,4 times every 7 days,REACH,[],[],+85 pct,185000,342765104.3,39074514.78,39.1,0.814,0.958,8.772082902,2.193020726,0.539728221
['MX'],USD,"Male, Female",25,44,56,4 times every 7 days,REACH,[],[],+85 pct,185000,482877944.9,35819406.74,35.8,0.746,0.878,13.48086512,1.685108139,0.383119589
['MX'],USD,"Male, Female",25,44,14,3 times every 7 days,REACH,[],[],+90 pct,190000,188591119.8,42629822.12,42.6,0.888,1.045,4.435402464,2.217701232,1.007470554
['MX'],USD,"Male, Female",25,44,28,3 times every 7 days,REACH,[],[],+90 pct,190000,297178959.5,40600424.56,40.6,0.846,0.995,7.319599467,1.829899867,0.639345398
