budget_,impressions_itp_Brand Awareness,impressions_itp_Link Clicks,impressions_itp_Post Engagement,impressions_itp_Reach,impressions_itp_Video Views,reach_itp_Brand Awareness,reach_itp_Link Clicks,reach_itp_Post Engagement,reach_itp_Reach,reach_itp_Video Views,reach_lower_bound_pct_ipt_Brand Awareness,reach_lower_bound_pct_ipt_Link Clicks,reach_lower_bound_pct_ipt_Post Engagement,reach_lower_bound_pct_ipt_Reach,reach_lower_bound_pct_ipt_Video Views,reach_upper_bound_pct_ipt_Brand Awareness,reach_upper_bound_pct_ipt_Link Clicks,reach_upper_bound_pct_ipt_Post Engagement,reach_upper_bound_pct_ipt_Reach,reach_upper_bound_pct_ipt_Video Views,frequency_itp_Brand Awareness,frequency_itp_Link Clicks,frequency_itp_Post Engagement,frequency_itp_Reach,frequency_itp_Video Views,weekly_freq_itp_Brand Awareness,weekly_freq_itp_Link Clicks,weekly_freq_itp_Post Engagement,weekly_freq_itp_Reach,weekly_freq_itp_Video Views,cpm_itp_Brand Awareness,cpm_itp_Link Clicks,cpm_itp_Post Engagement,cpm_itp_Reach,cpm_itp_Video Views
460528,523281719.2,531084339.1,509597591.5,543238645.7,272048744.1,83383264.18,83339996.33,80793786.79,84882898.44,56958969.21,0.811121247,0.810700353,0.785931778,0.825709129,0.554075576,0.954041924,0.953546869,0.924414037,0.971200211,0.651704453,6.275610907,6.372501063,6.307379582,6.399857064,4.776222714,1.568902727,1.593125266,1.576844895,1.599964266,1.194055678,0.880063523,0.867144403,0.903701574,0.833543242,1.692814025
470528,526325439.3,534138182.2,511184432.7,545681142.6,276059498.8,83624720.85,83597000.55,80947441.14,85088258.57,57440176.89,0.813470047,0.813200394,0.78742647,0.827706795,0.558756585,0.956804586,0.95648742,0.926172095,0.973549869,0.657210262,6.293887153,6.389435538,6.315015619,6.413118484,4.806025206,1.573471788,1.597358885,1.578753905,1.603279621,1.201506301,0.892653951,0.880900635,0.909291487,0.845639789,1.7044376
480528,528632541.4,537111429.9,516618409.9,550869871.2,279823774.7,83806621.67,83846912.82,81472129.52,85521643.63,57891812.21,0.81523951,0.815631448,0.792530443,0.831922603,0.563149924,0.958885831,0.959346829,0.932175395,0.978508508,0.662377714,6.30775679,6.40584954,6.34103756,6.441291881,4.833552531,1.576939197,1.601462385,1.58525939,1.61032297,1.208388133,0.902379024,0.894638953,0.92910398,0.872307591,1.715048498
490528,531079498.9,540019879.9,520231700.1,550936251.6,283045422.3,83998136.28,84091218.99,81820093,85527111.42,58274989.86,0.817102493,0.818007967,0.795915302,0.831975792,0.566877333,0.961077074,0.962142094,0.93615667,0.978571069,0.666761898,6.322508719,6.421825135,6.358237169,6.441655314,4.857056232,1.58062718,1.605456284,1.589559292,1.610413829,1.214264058,0.912878481,0.908336612,0.94290058,0.87266692,1.724527026
500528,533671426.3,542458947.5,523355707.4,553768580.2,286449200,84199195.65,84295943.62,82120667.75,85760231.82,58674067.65,0.819058323,0.819999452,0.79883918,0.8342435,0.570759413,0.963377525,0.964484481,0.939595741,0.98123835,0.671328005,6.338196597,6.435163656,6.373001488,6.457169019,4.882035337,1.584549149,1.608790914,1.593250372,1.614292255,1.220508834,0.924293115,0.920100168,0.955204765,0.888044004,1.735363909
510528,536391922,544898713,524653804.5,556710775,289852981.6,84409116.11,84500685.01,82245473.52,86000159.25,59073145.89,0.821100351,0.821991099,0.800053244,0.836577425,0.574641497,0.96577936,0.96682706,0.941023724,0.983983515,0.675894118,6.354664812,6.448444789,6.379119849,6.473363333,4.906677956,1.588666203,1.612111197,1.594779962,1.618340833,1.226669489,0.936656582,0.9320467,0.960445089,0.904595823,1.745946999
520528,539222488,547394899.9,529846504.7,559744528.2,295332745.2,84627351.03,84710090.3,82743477.81,86245899.49,59715077.23,0.823223259,0.824028116,0.804897644,0.838967894,0.580885965,0.968276328,0.969223001,0.946721714,0.986795189,0.68323887,6.371724709,6.461971995,6.403477476,6.490092045,4.945694852,1.592931177,1.615492999,1.600869369,1.622523011,1.236423713,0.950036048,0.944641078,0.982403438,0.922204892,1.762511066
530528,542100304.2,549974293.9,532131929.7,562883605.9,298959096.4,84849900.29,84926496.9,82962148.27,86498339.17,60122358.68,0.825388135,0.826133238,0.807024789,0.841423533,0.584847847,0.970822658,0.971699049,0.949223664,0.989683514,0.687898841,6.388928214,6.475878061,6.414147003,6.507440334,4.972510934,1.597232054,1.618969515,1.603536751,1.626860084,1.243127734,0.964229119,0.957820508,0.992487195,0.941053661,1.77458376
540528,545041872.1,552598905,533751830.6,565307327.4,301022468.3,85077748.95,85146759.2,83116992.15,86691519.31,60352391.59,0.827604562,0.828275868,0.808531052,0.843302717,0.587085521,0.973429622,0.974219213,0.950995334,0.991893814,0.690530796,6.406391399,6.489950375,6.421691757,6.520898097,4.987743004,1.60159785,1.622487594,1.605422939,1.630224524,1.246935751,0.97903403,0.971684911,0.999762048,0.956147125,1.781458137
550528,548060052.1,555311621.4,538577988.3,567484185.7,304991589,85311593.42,85374493.82,83577826.94,86863896.52,60794884.86,0.829879313,0.830491185,0.813013881,0.844979538,0.591389931,0.976105188,0.976824872,0.956268043,0.993866093,0.695593648,6.424207467,6.504412468,6.444025438,6.533022433,5.016723734,1.606051867,1.626103117,1.61100636,1.633255608,1.254180933,0.994692901,0.986298218,1.022181075,0.970109765,1.794423676
